studyno,respondentid,country,jobs,unemployment,income,retirement,housing,healthcare,cntry,year,emprate,foreignpct,netmig,pop,socx
ZA Study Number ISSP 2006,10001,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10002,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10003,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10004,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10006,Australia,0,0,0,0,0,0,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10007,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10008,Australia,1,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10011,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10012,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10013,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10014,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10015,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10016,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10017,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10018,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10019,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10021,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10022,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10023,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10024,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10026,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10027,Australia,0,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10028,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10029,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10030,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10031,Australia,1,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10032,Australia,1,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10033,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10034,Australia,1,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10035,Australia,0,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10036,Australia,1,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10037,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10038,Australia,0,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10039,Australia,0,1,1,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10040,Australia,0,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10041,Australia,0,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10042,Australia,1,0,1,1,0,0,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10043,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10044,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10045,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10048,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10050,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10051,Australia,1,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10052,Australia,0,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10053,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10054,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10055,Australia,1,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10056,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10058,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10059,Australia,1,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10060,Australia,1,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10061,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10062,Australia,1,0,1,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10063,Australia,0,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10064,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10065,Australia,1,0,1,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10067,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10068,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10069,Australia,0,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10070,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10071,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10073,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10074,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10075,Australia,0,1,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10077,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10078,Australia,0,0,1,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10079,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10080,Australia,1,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10081,Australia,1,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10082,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10083,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10084,Australia,0,1,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10085,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10087,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10088,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10089,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10090,Australia,0,1,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10091,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10093,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10094,Australia,0,1,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10097,Australia,0,0,0,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10098,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10099,Australia,1,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10101,Australia,0,1,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10102,Australia,1,0,0,1,0,1,36,2006,72.973358,21.299999,641231,20394800,17.1
ZA Study Number ISSP 2006,10103,Australia,1,0,1,1,1,1,36,2006,72.973358,21.299999,641231,20394800,17.1
